id,first_name,last_name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,batted_ball_events,batted_ball_event_per_swing
691406, Junior,Caminero,555,0.912828947,439,79.94816908,0.882882883,0.312072893,0.246846847,0.257403189,0.203603604,8.634594396,5,8.344823252,244,0.43963964
691023, Jordan,Walker,610,0.902366864,440,79.12943426,0.857377049,0.297727273,0.214754098,0.227272727,0.163934426,8.286804738,15,11.18033379,228,0.373770492
665833, Oneil,Cruz,447,0.9048583,281,78.46190175,0.780760626,0.341637011,0.214765101,0.245551601,0.154362416,7.622225302,7,0.13555473,137,0.306487696
701762, Nick,Kurtz,605,0.905688623,396,78.29432802,0.816528926,0.275252525,0.180165289,0.227272727,0.148760331,7.762318132,16,-3.09585894,170,0.280991736
701358, Cam,Smith,587,0.903076923,426,77.28942661,0.752981261,0.272300469,0.197614991,0.176056338,0.127768313,7.688628262,8,-16.6266863,212,0.361158433
669003, Garrett,Mitchell,432,0.905660377,277,77.26928035,0.768518519,0.306859206,0.196759259,0.227436823,0.145833333,7.240055972,13,-6.204031543,138,0.319444444
666176, Jo,Adell,711,0.90343075,547,77.23219319,0.701828411,0.23583181,0.181434599,0.149908592,0.11533052,7.740112236,20,-16.70320239,248,0.348804501
695506, Jac,Caglianone,565,0.902555911,400,77.23166637,0.745132743,0.3025,0.214159292,0.2325,0.16460177,7.904266248,10,-4.109488797,186,0.32920354
656941, Kyle,Schwarber,648,0.901251739,449,77.09793213,0.757716049,0.244988864,0.169753086,0.175946548,0.12191358,7.484181528,31,7.633878021,180,0.277777778
575929, Willson,Contreras,601,0.902402402,434,76.86095569,0.700499168,0.262672811,0.18968386,0.170506912,0.12312812,7.892131681,19,14.44286696,215,0.357737105
641343, Jake,Bauers,466,0.906614786,353,76.73413264,0.701716738,0.348441926,0.263948498,0.21529745,0.163090129,7.662130966,17,-0.818418218,184,0.394849785
695578, James,Wood,613,0.900146843,441,76.64915034,0.66721044,0.333333333,0.239804241,0.235827664,0.169657423,7.400368206,33,-0.543266608,213,0.347471452
677594, Julio,Rodríguez,654,0.905817175,484,76.54437607,0.660550459,0.276859504,0.204892966,0.183884298,0.136085627,7.799634526,10,-9.67530092,241,0.368501529
695657, Colson,Montgomery,625,0.901875902,406,76.25680779,0.664,0.243842365,0.1584,0.167487685,0.1088,7.883760592,22,-6.55016505,191,0.3056
665489, Vladimir,Guerrero Jr.,553,0.906557377,451,76.18672501,0.629294756,0.310421286,0.253164557,0.199556541,0.162748644,7.554610958,7,-21.03072275,259,0.46835443
656305, Matt,Chapman,550,0.909090909,425,76.1503758,0.612727273,0.216470588,0.167272727,0.129411765,0.1,7.370998182,11,-14.53590067,199,0.361818182
592450, Aaron,Judge,420,0.905172414,292,76.1009676,0.645238095,0.315068493,0.219047619,0.205479452,0.142857143,8.110713952,12,5.010564006,132,0.314285714
670541, Yordan,Alvarez,606,0.918181818,493,76.07910058,0.600660066,0.314401623,0.255775578,0.221095335,0.179867987,7.612302343,5,9.860321184,246,0.405940594
660670, Ronald,Acuña Jr.,385,0.89953271,286,76.00591351,0.623376623,0.286713287,0.212987013,0.171328671,0.127272727,7.639172104,16,-11.42780096,139,0.361038961
663586, Austin,Riley,621,0.905247813,430,75.69914113,0.578099839,0.286046512,0.198067633,0.155813953,0.107890499,7.565549098,16,-26.03810903,201,0.323671498
665487, Fernando,Tatis Jr.,569,0.900316456,424,75.69551837,0.618629174,0.360849057,0.268892794,0.238207547,0.177504394,7.302524236,21,-8.763312373,251,0.44112478
804606, Konnor,Griffin,435,0.902489627,308,75.64515913,0.574712644,0.253246753,0.179310345,0.146103896,0.103448276,7.69317246,10,-7.596679888,150,0.344827586
682985, Riley,Greene,633,0.906876791,450,75.62283084,0.579778831,0.293333333,0.208530806,0.182222222,0.129541864,7.263981706,11,-3.837293163,206,0.325434439
691723, Coby,Mayo,374,0.903381643,259,75.58827439,0.569518717,0.277992278,0.192513369,0.158301158,0.109625668,7.434293102,6,-13.03517087,111,0.296791444
682998, Corbin,Carroll,576,0.905660377,425,75.57104866,0.602430556,0.324705882,0.239583333,0.171764706,0.126736111,7.480210538,3,-2.01333153,224,0.388888889
696100, Hunter,Goodman,611,0.910581222,408,75.32173116,0.541734861,0.269607843,0.180032733,0.161764706,0.10801964,7.407096432,10,-2.762993707,179,0.292962357
669127, Shea,Langeliers,553,0.912541254,400,75.29798647,0.535262206,0.33,0.238698011,0.1775,0.128390597,7.244094177,2,-5.061665623,213,0.38517179
669394, Jake,Burger,578,0.903125,396,75.25884803,0.565743945,0.333333333,0.228373702,0.196969697,0.134948097,7.474270744,21,-6.113252777,215,0.371972318
680776, Jarren,Duran,572,0.900787402,387,75.24750923,0.515734266,0.276485788,0.187062937,0.170542636,0.115384615,7.62587257,16,-23.06854919,202,0.353146853
670042, Luke,Raley,446,0.906504065,272,75.18011525,0.551569507,0.297794118,0.18161435,0.1875,0.114349776,7.303154081,8,-9.980263235,132,0.295964126
808959, Munetaka,Murakami,401,0.901123596,241,75.17339257,0.546134663,0.336099585,0.201995012,0.232365145,0.139650873,7.904293392,12,-2.709499448,111,0.27680798
545361, Mike,Trout,482,0.904315197,387,75.08454917,0.524896266,0.286821705,0.230290456,0.183462532,0.147302905,7.521379959,12,-3.696804934,172,0.356846473
621566, Matt,Olson,687,0.903947368,539,75.05655904,0.518195051,0.304267161,0.238719068,0.19851577,0.155749636,7.547725852,15,0.801082081,249,0.362445415
686948, Drake,Baldwin,495,0.903284672,382,75.03542148,0.529292929,0.321989529,0.248484848,0.191099476,0.147474747,7.302621838,11,-4.250883039,181,0.365656566
