First_Name,Last_Name,ID,Team_Name,Pitch_Type,Pitch_Name,Run_Value_per_100,Run_Value,Pitches,Pitch_Usage,PA,BA,SLG,wOBA,Whiff_Percent,K_Percent,Put_Away_Percent,xBA,xSLG,xwOBA,Hard_Hit_Percent
 Rafael,Devers,646240,SF,FF,4-Seam Fastball,1,13,1304,42.6,261,0.249,0.512,0.388,34.9,29.5,18.3,0.24,0.528,0.382,64.5
 Steven,Kwan,680757,CLE,FF,4-Seam Fastball,-1,-10,1021,36.6,261,0.247,0.357,0.306,5.9,4.2,4.6,0.259,0.349,0.308,12.6
 Geraldo,Perdomo,672695,AZ,FF,4-Seam Fastball,0.9,11,1238,41.2,257,0.288,0.473,0.387,10.7,9.7,7.9,0.291,0.451,0.378,28.4
 Luis,Arraez,650333,SD,FF,4-Seam Fastball,0.3,3,999,40.5,257,0.333,0.491,0.372,5.1,3.9,4.4,0.283,0.374,0.308,19.8
 Jarren,Duran,680776,BOS,FF,4-Seam Fastball,0.7,7,988,37.7,252,0.276,0.491,0.386,25.4,23.4,21.8,0.262,0.445,0.365,54.5
 Francisco,Lindor,596019,NYM,FF,4-Seam Fastball,1.5,16,1084,36.9,252,0.286,0.592,0.415,15.8,14.7,11.6,0.284,0.552,0.403,52.5
 Cal,Raleigh,663728,SEA,FF,4-Seam Fastball,1.6,16,969,34.2,250,0.23,0.594,0.389,26.4,28.4,22.8,0.233,0.591,0.386,52.4
 Willy,Adames,642715,SF,FF,4-Seam Fastball,1.6,15,915,32.7,249,0.259,0.56,0.383,18,15.3,14.3,0.265,0.601,0.397,53
 TJ,Friedl,670770,CIN,FF,4-Seam Fastball,0.4,4,975,36.9,244,0.281,0.397,0.372,9.2,9,10.5,0.254,0.362,0.344,34.8
 Vinnie,Pasquantino,686469,KC,FF,4-Seam Fastball,0.3,3,875,34,239,0.247,0.502,0.361,11.5,13,13.4,0.255,0.505,0.346,43.7
 Mike,Trout,545361,LAA,FF,4-Seam Fastball,1.3,15,1127,45.4,237,0.233,0.497,0.378,29.1,34.6,22.4,0.198,0.46,0.357,51.4
 J.P.,Crawford,641487,SEA,FF,4-Seam Fastball,0.8,9,1082,39.6,235,0.287,0.436,0.385,21.6,18.7,14.3,0.247,0.372,0.349,26
 Ian,Happ,664023,CHC,FF,4-Seam Fastball,-0.3,-3,1078,39.7,230,0.211,0.351,0.319,19.9,24.8,19.6,0.238,0.435,0.359,50.4
 Matt,Olson,621566,ATL,FF,4-Seam Fastball,0.9,9,1042,33,225,0.272,0.511,0.392,27.7,24.4,15.4,0.238,0.502,0.374,58.8
 Xavier,Edwards,669364,MIA,FF,4-Seam Fastball,-1,-9,883,39.2,225,0.247,0.34,0.317,12.4,18.2,17.9,0.242,0.314,0.303,35.1
 Mike,Yastrzemski,573262,KC,FF,4-Seam Fastball,-0.9,-8,920,39.9,223,0.201,0.381,0.305,18.1,20.2,18.3,0.225,0.454,0.34,47.3
 Freddie,Freeman,518692,LAD,FF,4-Seam Fastball,1,8,761,32,223,0.305,0.527,0.396,21.9,15.7,17.2,0.288,0.535,0.379,47.6
 Lawrence,Butler,671732,ATH,FF,4-Seam Fastball,-0.2,-2,853,33.9,221,0.237,0.407,0.325,29.4,29.9,24.8,0.224,0.405,0.317,47.3
 Brandon,Nimmo,607043,NYM,FF,4-Seam Fastball,-0.6,-5,954,36.7,221,0.246,0.401,0.33,23,22.6,16.2,0.251,0.449,0.349,51.8
 Elly,De La Cruz,682829,CIN,FF,4-Seam Fastball,0.8,6,832,31.1,217,0.29,0.56,0.394,31.7,24.9,23.5,0.248,0.516,0.361,56.1
 Sal,Frelick,686217,MIL,FF,4-Seam Fastball,0.4,3,825,35.7,216,0.297,0.443,0.367,10.1,10.2,10.6,0.269,0.375,0.331,27.5
 Randy,Arozarena,668227,SEA,FF,4-Seam Fastball,0.2,1,909,31.6,214,0.213,0.461,0.35,31,29.9,21.1,0.237,0.519,0.38,62.9
 Nathaniel,Lowe,663993,BOS,FF,4-Seam Fastball,0.1,1,1025,39.3,212,0.263,0.425,0.351,25.7,29.2,19,0.254,0.424,0.349,44.5
 Riley,Greene,682985,DET,FF,4-Seam Fastball,-0.2,-2,951,35.1,212,0.24,0.427,0.32,27.2,30.2,19.5,0.233,0.476,0.332,41.9
 Adolis,García,666969,TEX,FF,4-Seam Fastball,0.2,1,878,40.8,211,0.246,0.429,0.321,30.8,27.5,20.1,0.244,0.467,0.328,55.1
 Trevor,Story,596115,BOS,FF,4-Seam Fastball,-0.5,-4,868,35.1,211,0.234,0.335,0.29,23,27.5,21.1,0.24,0.405,0.302,54
 Cody,Bellinger,641355,NYY,FF,4-Seam Fastball,0.4,4,819,31.6,211,0.245,0.484,0.356,17.2,14.2,12.9,0.251,0.486,0.355,38.2
 Trevor,Larnach,663616,MIN,FF,4-Seam Fastball,-0.6,-4,689,31.4,210,0.246,0.403,0.318,17,13.3,16.8,0.295,0.482,0.362,48.8
 Shohei,Ohtani,660271,LAD,FF,4-Seam Fastball,1.6,13,855,29.8,209,0.258,0.602,0.398,28.4,25.8,26.3,0.283,0.715,0.446,68.4
 Jung Hoo,Lee,808982,SF,FF,4-Seam Fastball,0.1,1,847,36,208,0.284,0.421,0.356,8.5,10.1,9.7,0.294,0.41,0.351,35.8
 Trent,Grisham,663757,NYY,FF,4-Seam Fastball,1.4,12,811,33.9,206,0.254,0.527,0.409,20.4,19.9,20.1,0.252,0.573,0.405,55.8
 Bryson,Stott,681082,PHI,FF,4-Seam Fastball,0.6,6,1018,41.3,206,0.285,0.497,0.382,16.7,20.4,12.7,0.249,0.433,0.34,37
 Corbin,Carroll,682998,AZ,FF,4-Seam Fastball,2.4,18,736,29.5,205,0.32,0.68,0.448,26.6,25.4,24.6,0.283,0.613,0.411,58.6
 Ozzie,Albies,645277,ATL,FF,4-Seam Fastball,0.8,6,728,30.4,205,0.232,0.436,0.338,20.9,17.1,16.7,0.217,0.401,0.31,36.5
 Kyle,Schwarber,656941,PHI,FF,4-Seam Fastball,3.6,29,803,26.3,204,0.283,0.775,0.479,25.8,25,21.5,0.276,0.757,0.468,63.1
 Jonathan,India,663697,KC,FF,4-Seam Fastball,-0.9,-7,770,32.6,204,0.213,0.316,0.299,14.4,14.2,11.8,0.233,0.397,0.331,39.7
 Jake,Cronenworth,630105,SD,FF,4-Seam Fastball,1,9,879,40.2,203,0.278,0.404,0.401,11.8,11.8,8.4,0.253,0.412,0.385,41.1
 Gleyber,Torres,650402,DET,FF,4-Seam Fastball,0.8,7,823,31,202,0.278,0.424,0.391,21.2,16.8,12.3,0.304,0.562,0.431,50.8
 Kyle,Tucker,663656,CHC,FF,4-Seam Fastball,1.5,10,704,30.5,201,0.264,0.509,0.4,12.4,10.9,13.3,0.283,0.6,0.43,49.3
 James,Wood,695578,WSH,FF,4-Seam Fastball,1.4,11,793,27.5,200,0.299,0.576,0.404,24,34,28.8,0.303,0.62,0.42,71.8
 Brice,Turang,668930,MIL,FF,4-Seam Fastball,0.4,4,1020,36.8,199,0.309,0.491,0.4,20.6,25.1,16.7,0.269,0.456,0.37,59
 Lars,Nootbaar,663457,STL,FF,4-Seam Fastball,0,0,748,31.7,197,0.278,0.391,0.343,10.9,14.7,16.6,0.274,0.482,0.371,56.3
 Isaac,Collins,686555,MIL,FF,4-Seam Fastball,-0.2,-2,785,43.8,195,0.244,0.3,0.335,21.6,18.5,16.2,0.233,0.322,0.319,35.7
 Mookie,Betts,605141,LAD,FF,4-Seam Fastball,1.6,13,790,32.1,194,0.329,0.503,0.413,7.4,6.2,7.7,0.325,0.537,0.42,38.7
 Miguel,Vargas,678246,CWS,FF,4-Seam Fastball,-0.6,-5,856,36.8,193,0.211,0.416,0.325,21.8,19.2,14.8,0.205,0.387,0.312,44.2
 Dansby,Swanson,621020,CHC,FF,4-Seam Fastball,-1.5,-10,636,25.2,192,0.233,0.409,0.301,30.4,29.2,28.1,0.284,0.541,0.372,62.1
 Eugenio,Suárez,553993,SEA,FF,4-Seam Fastball,0.2,1,817,31.4,191,0.22,0.494,0.344,29.1,27.2,20.5,0.231,0.5,0.352,56.8
 Fernando,Tatis Jr.,665487,SD,FF,4-Seam Fastball,1.1,8,743,28.2,191,0.319,0.548,0.415,20.7,15.7,16.3,0.287,0.568,0.405,62
 Salvador,Perez,521692,KC,FF,4-Seam Fastball,-0.1,0,643,28.4,191,0.237,0.445,0.328,26.1,23,22.6,0.271,0.575,0.386,51.9
 Nolan,Schanuel,694384,LAA,FF,4-Seam Fastball,0.6,4,760,35.3,191,0.288,0.429,0.377,10.6,9.4,10.1,0.251,0.363,0.339,31.4
