First_Name,Last_Name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
 Mike,Trout,545361,LAA,FF,4-Seam Fastball,2.4,15,626,44.7,129,0.276,0.541,0.451,17.2,17.8,11,0.3,0.646,0.47,57.3
 Rafael,Devers,646240,SF,FF,4-Seam Fastball,-0.9,-5,544,42.5,123,0.186,0.398,0.281,41.4,45.5,27.3,0.182,0.379,0.274,59.6
 Isaac,Collins,686555,KC,FF,4-Seam Fastball,-1.3,-5,430,45.5,122,0.196,0.25,0.309,17.6,17.2,21.9,0.238,0.349,0.353,40
 Luis,Arraez,650333,SF,FF,4-Seam Fastball,0.8,4,448,39.2,121,0.363,0.496,0.384,10.2,5,5.2,0.293,0.386,0.31,25.5
 Nico,Hoerner,663538,CHC,FF,4-Seam Fastball,-1.7,-6,356,29.3,116,0.184,0.276,0.27,5.1,4.3,6.7,0.289,0.4,0.353,33
 Vinnie,Pasquantino,686469,KC,FF,4-Seam Fastball,-1.1,-4,379,32.5,116,0.27,0.41,0.342,9.2,19,20,0.249,0.415,0.325,42
 Jonathan,Aranda,666018,TB,FF,4-Seam Fastball,-0.1,0,499,41.3,114,0.242,0.396,0.341,23.9,24.6,19.9,0.253,0.476,0.372,50
 Michael,Busch,683737,CHC,FF,4-Seam Fastball,0.1,0,384,29.2,113,0.218,0.376,0.325,13.5,16.8,17.4,0.239,0.451,0.336,42.7
 Jakob,Marsee,805300,MIA,FF,4-Seam Fastball,-0.7,-3,435,36,111,0.196,0.304,0.293,12.3,18,17.1,0.216,0.32,0.312,34.7
 Chandler,Simpson,802415,TB,FF,4-Seam Fastball,-2.3,-8,356,39.8,107,0.258,0.258,0.274,4.7,7.5,10.5,0.24,0.276,0.252,15.1
 Riley,Greene,682985,DET,FF,4-Seam Fastball,0,0,446,34.5,106,0.247,0.416,0.344,26.2,28.3,20,0.234,0.436,0.352,43.3
 Colson,Montgomery,695657,CWS,FF,4-Seam Fastball,-0.6,-2,375,34.9,105,0.194,0.398,0.3,37.6,34.3,31.6,0.17,0.343,0.272,43.9
 Cole,Young,702284,SEA,FF,4-Seam Fastball,-0.7,-3,402,35,105,0.226,0.366,0.301,18.2,13.3,13.1,0.233,0.395,0.313,42.5
 Xavier,Edwards,669364,MIA,FF,4-Seam Fastball,2.7,11,405,32.7,104,0.379,0.667,0.481,8.3,5.8,6.4,0.327,0.553,0.42,37.3
 Pete,Crow-Armstrong,691718,CHC,FF,4-Seam Fastball,-1,-4,369,30.5,103,0.204,0.376,0.29,22.4,27.2,20.9,0.201,0.401,0.297,50.8
 JJ,Wetherholt,802139,STL,FF,4-Seam Fastball,0.7,2,377,30.6,103,0.261,0.591,0.405,24.2,21.4,20.4,0.276,0.613,0.42,54.5
 Ian,Happ,664023,CHC,FF,4-Seam Fastball,0.9,4,438,34.4,103,0.216,0.477,0.366,27.5,35,24.8,0.198,0.439,0.331,51.9
 Spencer,Horwitz,687462,PIT,FF,4-Seam Fastball,0.3,1,382,34.3,101,0.272,0.457,0.383,12.6,10.9,12.5,0.238,0.414,0.367,30.6
 Austin,Riley,663586,ATL,FF,4-Seam Fastball,-0.4,-1,385,32,100,0.23,0.368,0.315,33.7,31,25.4,0.219,0.386,0.315,53.6
 Kevin,McGonigle,805808,DET,FF,4-Seam Fastball,0.5,2,367,28.7,100,0.268,0.439,0.383,10.7,11,12.1,0.283,0.525,0.406,42.3
 Cody,Bellinger,641355,NYY,FF,4-Seam Fastball,0.6,2,364,31.7,100,0.256,0.41,0.37,17.4,11,11.2,0.273,0.409,0.376,30.9
 Steven,Kwan,680757,CLE,FF,4-Seam Fastball,-0.3,-2,436,40.5,100,0.231,0.295,0.33,4.3,6,7.6,0.229,0.306,0.331,8.2
 Ketel,Marte,606466,AZ,FF,4-Seam Fastball,0.4,1,335,30.1,100,0.231,0.473,0.349,10.6,9,11.7,0.293,0.567,0.387,45.8
 Taylor,Ward,621493,BAL,FF,4-Seam Fastball,1.1,5,410,28.2,100,0.312,0.455,0.417,18.6,22,17.6,0.306,0.497,0.425,41.8
 Bryan,Reynolds,668804,PIT,FF,4-Seam Fastball,3.1,11,363,28.3,100,0.329,0.624,0.466,21.8,19,17,0.297,0.569,0.416,53
