First_Name,Last_Name,ID,Competitive_Swings,Competitive_Swings_Percent,Total_Contact,Avg_Bat_Speed,Hard_Swing_Rate,Squared_Up_Contact_Percent,Squared_Up_Swing_Percent,Blast_Contact_Percent,Blast_Swing_Percent,Swing_Length,Total_Swords,Run_Value,Whiffs,Whiff_per_Swing_Percent,BBE,BBE_per_Swing_Percent
 Junior,Caminero,691406,488,0.946,385,78.9,0.857,0.317,0.25,0.239,0.189,8.1,7,5,103,0.211,186,0.381
 Jordan,Walker,691023,311,0.963,231,78.8,0.855,0.255,0.19,0.195,0.145,7.9,3,-3.8,80,0.257,105,0.338
 Oneil,Cruz,665833,302,0.95,237,78.3,0.762,0.346,0.272,0.27,0.212,7.1,1,-4.3,65,0.215,117,0.387
 Jo,Adell,666176,538,0.947,431,77.9,0.779,0.248,0.199,0.176,0.141,7.4,11,-1.2,107,0.199,195,0.362
 Kyle,Schwarber,656941,525,0.944,416,77.7,0.808,0.32,0.253,0.257,0.204,7.2,15,23.8,109,0.208,193,0.368
 Nick,Kurtz,701762,351,0.946,258,77.2,0.715,0.279,0.205,0.202,0.148,7.3,5,18.8,93,0.265,125,0.356
 James,Wood,695578,460,0.948,366,77,0.728,0.336,0.267,0.265,0.211,7.1,13,10.7,94,0.204,173,0.376
 Matt,Wallner,670242,369,0.909,250,76.7,0.715,0.228,0.154,0.16,0.108,7.1,8,-9.9,119,0.322,102,0.276
 Aaron,Judge,592450,432,0.917,335,76.6,0.676,0.34,0.264,0.284,0.22,7.6,8,26.1,97,0.225,162,0.375
 Vladimir,Guerrero Jr.,665489,398,0.909,339,76.1,0.623,0.401,0.342,0.271,0.231,7.3,1,11.5,59,0.148,207,0.52
 Ronald,Acuña Jr.,660670,351,0.905,256,76,0.627,0.293,0.214,0.211,0.154,7.3,9,7.2,95,0.271,117,0.333
 Willson,Contreras,575929,434,0.919,347,75.9,0.62,0.268,0.214,0.173,0.138,7.6,2,-4.3,87,0.2,155,0.357
 Addison,Barger,680718,373,0.912,297,75.9,0.635,0.29,0.231,0.175,0.139,7.2,1,-10.5,76,0.204,143,0.383
 Julio,Rodríguez,677594,520,0.892,406,75.8,0.575,0.367,0.287,0.227,0.177,7.2,3,8.3,114,0.219,212,0.408
 Shohei,Ohtani,660271,499,0.94,374,75.8,0.623,0.377,0.283,0.251,0.188,7.5,1,12.7,125,0.251,188,0.377
 Luis,Robert Jr.,673357,310,0.942,247,75.8,0.603,0.251,0.2,0.15,0.119,7.4,6,-8.5,63,0.203,109,0.352
