id,First_Name,Last_Name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
691406, Junior,Caminero,189,0.935643564,155,80.16172619,0.931216931,0.348387097,0.285714286,0.303225806,0.248677249,8.253591005,2,4.227914838,,NaN,87,0.46031746
691023, Jordan,Walker,241,0.971774194,199,79.56643286,0.912863071,0.281407035,0.232365145,0.221105528,0.182572614,7.946938714,1,2.858218719,,NaN,97,0.402489627
701762, Nick,Kurtz,237,0.901140684,170,78.31949312,0.814345992,0.294117647,0.210970464,0.211764706,0.151898734,7.432377089,4,3.031849213,,NaN,72,0.303797468
665833, Oneil,Cruz,187,0.912195122,134,77.86713123,0.737967914,0.358208955,0.256684492,0.28358209,0.203208556,6.944317326,2,-2.745599878,,NaN,59,0.315508021
656941, Kyle,Schwarber,223,0.952991453,173,77.27451722,0.780269058,0.242774566,0.188340807,0.156069364,0.121076233,7.092123767,4,7.541285091,,NaN,74,0.331838565
666176, Jo,Adell,276,0.941979522,220,77.20400058,0.710144928,0.259090909,0.206521739,0.15,0.119565217,7.194917935,0,-2.096781521,,NaN,98,0.355072464
701358, Cam,Smith,244,0.910447761,201,76.9815834,0.696721311,0.328358209,0.270491803,0.194029851,0.159836066,7.214408033,3,-5.209151868,,NaN,98,0.401639344
669003, Garrett,Mitchell,169,0.949438202,116,76.64216266,0.75739645,0.25862069,0.177514793,0.189655172,0.130177515,6.867704852,0,-5.427655799,,NaN,49,0.289940828
575929, Willson,Contreras,261,0.925531915,210,76.61967471,0.681992337,0.242857143,0.195402299,0.180952381,0.14559387,7.573509502,2,7.114581159,,NaN,103,0.394636015
695506, Jac,Caglianone,177,0.951612903,135,76.54614514,0.711864407,0.281481481,0.214689266,0.22962963,0.175141243,7.276969322,1,0.299286093,,NaN,58,0.327683616
677594, Julio,Rodríguez,253,0.872413793,207,76.42024688,0.664031621,0.285024155,0.233201581,0.193236715,0.158102767,7.262757589,5,-2.754973673,,NaN,102,0.403162055
641343, Jake,Bauers,164,0.911111111,139,76.39359238,0.707317073,0.374100719,0.317073171,0.244604317,0.207317073,7.238708841,3,-0.056394439,,NaN,77,0.469512195
695578, James,Wood,200,0.921658986,166,76.2270025,0.645,0.34939759,0.29,0.271084337,0.225,6.8354617,2,6.479888759,,NaN,84,0.42
592450, Aaron,Judge,151,0.867816092,119,75.76524225,0.582781457,0.302521008,0.238410596,0.226890756,0.178807947,7.574565629,2,6.544998618,,NaN,49,0.324503311
660670, Ronald,Acuña Jr.,219,0.908713693,164,75.76303785,0.598173516,0.256097561,0.191780822,0.164634146,0.123287671,7.420256712,8,-8.172373536,,NaN,77,0.351598174
670042, Luke,Raley,147,0.924528302,92,75.73555191,0.605442177,0.380434783,0.238095238,0.260869565,0.163265306,6.844361837,1,-0.655823914,,NaN,50,0.340136054
695657, Colson,Montgomery,251,0.877622378,162,75.70366976,0.601593625,0.290123457,0.187250996,0.185185185,0.119521912,7.492173825,9,-5.949302715,,NaN,79,0.314741036
682998, Corbin,Carroll,229,0.942386831,165,75.63911389,0.620087336,0.290909091,0.209606987,0.139393939,0.100436681,7.131193799,0,0.762673461,,NaN,79,0.344978166
656305, Matt,Chapman,247,0.904761905,193,75.63506652,0.550607287,0.207253886,0.16194332,0.10880829,0.085020243,6.978812227,3,-7.041352838,,NaN,93,0.376518219
665489, Vladimir,Guerrero Jr.,210,0.913043478,185,75.56799691,0.580952381,0.340540541,0.3,0.183783784,0.161904762,7.175786143,0,-1.346705783,,NaN,98,0.466666667
670541, Yordan,Alvarez,227,0.949790795,187,75.53984577,0.524229075,0.304812834,0.251101322,0.219251337,0.18061674,7.219978194,0,7.729833487,,NaN,83,0.365638767
804606, Konnor,Griffin,148,0.896969697,115,75.4255977,0.540540541,0.130434783,0.101351351,0.07826087,0.060810811,7.122844662,2,0.685796386,,NaN,51,0.344594595
545361, Mike,Trout,294,0.927444795,253,75.34262925,0.534013605,0.28458498,0.244897959,0.185770751,0.159863946,7.245260816,3,0.51946709,,NaN,109,0.370748299
624585, Jorge,Soler,184,0.968421053,136,75.28350603,0.565217391,0.272058824,0.201086957,0.154411765,0.114130435,7.446951739,0,-4.936082325,,NaN,63,0.342391304
683146, Brett,Baty,217,0.964444444,172,75.20919304,0.594470046,0.255813953,0.202764977,0.127906977,0.101382488,6.941636037,3,-3.200885901,,NaN,74,0.341013825
663586, Austin,Riley,240,0.902255639,182,75.14589367,0.508333333,0.32967033,0.25,0.192307692,0.145833333,7.105785375,3,-6.150588519,,NaN,91,0.379166667
665487, Fernando,Tatis Jr.,238,0.911877395,197,75.11799563,0.558823529,0.360406091,0.298319328,0.223350254,0.18487395,7.048530378,5,-3.543366292,,NaN,114,0.478991597
669394, Jake,Burger,196,0.903225806,151,75.04067194,0.56122449,0.417218543,0.321428571,0.231788079,0.178571429,6.97491301,4,0.251154846,,NaN,86,0.43877551
663728, Cal,Raleigh,170,0.923913043,119,74.98954677,0.505882353,0.193277311,0.135294118,0.109243697,0.076470588,7.416505588,3,-9.216445233,,NaN,42,0.247058824
691723, Coby,Mayo,121,0.902985075,101,74.94242645,0.495867769,0.277227723,0.231404959,0.148514851,0.123966942,6.95307314,2,-0.768181383,,NaN,41,0.338842975
678246, Miguel,Vargas,282,0.965753425,227,74.92879575,0.528368794,0.281938326,0.226950355,0.149779736,0.120567376,7.63229773,0,-2.722216797,,NaN,99,0.35106383
660271, Shohei,Ohtani,219,0.924050633,171,74.90291489,0.506849315,0.321637427,0.251141553,0.210526316,0.164383562,7.46174621,2,1.258936702,,NaN,81,0.369863014
808959, Munetaka,Murakami,166,0.912087912,108,74.83115572,0.506024096,0.324074074,0.210843373,0.222222222,0.144578313,7.556690301,3,1.029890923,,NaN,50,0.301204819
691718, Pete,Crow-Armstrong,232,0.946938776,190,74.81175504,0.487068966,0.310526316,0.254310345,0.168421053,0.137931034,7.007473793,4,-3.095329072,,NaN,92,0.396551724
686948, Drake,Baldwin,183,0.924242424,159,74.74886197,0.508196721,0.364779874,0.316939891,0.232704403,0.202185792,6.795414426,3,7.720791005,,NaN,76,0.415300546
682985, Riley,Greene,230,0.864661654,179,74.74837539,0.491304348,0.30726257,0.239130435,0.167597765,0.130434783,6.840974174,4,0.649959394,,NaN,75,0.326086957
669065, Kyle,Stowers,184,0.910891089,138,74.72978538,0.451086957,0.304347826,0.22826087,0.18115942,0.135869565,6.333444293,4,-5.679446578,,NaN,68,0.369565217
624413, Pete,Alonso,275,0.922818792,222,74.69896575,0.487272727,0.324324324,0.261818182,0.225225225,0.181818182,6.854563564,2,-5.299170498,,NaN,101,0.367272727
621566, Matt,Olson,274,0.931972789,217,74.68550522,0.50729927,0.304147465,0.240875912,0.207373272,0.164233577,7.088681934,2,1.70028016,,NaN,96,0.350364964
696100, Hunter,Goodman,200,0.892857143,157,74.6811381,0.47,0.261146497,0.205,0.133757962,0.105,6.8786024,2,-5.392967833,,NaN,58,0.29
621439, Byron,Buxton,225,0.925925926,174,74.59033173,0.448888889,0.350574713,0.271111111,0.17816092,0.137777778,7.627718667,3,0.403776785,,NaN,84,0.373333333
680776, Jarren,Duran,201,0.901345291,149,74.58258562,0.452736318,0.281879195,0.208955224,0.194630872,0.144278607,7.046811542,4,-0.795405689,,NaN,69,0.343283582
606466, Ketel,Marte,191,0.896713615,174,74.51719304,0.460732984,0.350574713,0.319371728,0.229885057,0.209424084,7.368098534,1,1.963106551,,NaN,101,0.528795812
682829, Elly,De La Cruz,153,0.916167665,128,74.46334052,0.444444444,0.3828125,0.320261438,0.2578125,0.215686275,6.533242614,1,5.471470981,,NaN,71,0.464052288
691785, Marcelo,Mayer,130,0.884353741,113,74.42726492,0.476923077,0.274336283,0.238461538,0.10619469,0.092307692,7.413345462,0,-2.117707058,,NaN,62,0.476923077
671739, Michael,Harris II,190,0.904761905,158,74.41364326,0.442105263,0.303797468,0.252631579,0.208860759,0.173684211,7.579391579,3,-0.970082916,,NaN,71,0.373684211
669127, Shea,Langeliers,179,0.87745098,149,74.33954665,0.407821229,0.32885906,0.273743017,0.161073826,0.134078212,6.736525363,0,5.728463145,,NaN,69,0.38547486
671056, Iván,Herrera,224,0.896,197,74.33185036,0.5,0.294416244,0.258928571,0.152284264,0.133928571,7.457510491,2,-3.856454585,,NaN,98,0.4375
657757, Gavin,Sheets,188,0.899521531,164,74.30124075,0.45212766,0.335365854,0.292553191,0.134146341,0.117021277,7.323017766,4,-3.207215392,,NaN,81,0.430851064
686527, Dominic,Canzone,119,0.894736842,99,74.2484279,0.411764706,0.434343434,0.361344538,0.292929293,0.243697479,6.877645462,3,2.939067213,,NaN,58,0.487394958
694212, Samuel,Basallo,130,0.855263158,102,74.17271,0.4,0.382352941,0.3,0.235294118,0.184615385,6.988990077,3,-1.221426804,,NaN,54,0.415384615
547180, Bryce,Harper,207,0.907894737,167,74.14860314,0.458937198,0.251497006,0.202898551,0.125748503,0.101449275,6.816209855,1,0.504593207,,NaN,70,0.338164251
695600, Carter,Jensen,180,0.904522613,131,74.10794839,0.394444444,0.282442748,0.205555556,0.122137405,0.088888889,6.676356444,5,-6.130360394,,NaN,55,0.305555556
683002, Gunnar,Henderson,242,0.889705882,199,74.09465471,0.404958678,0.301507538,0.247933884,0.155778894,0.128099174,6.925921983,1,-5.863562829,,NaN,91,0.376033058
641857, Ryan,McMahon,153,0.932926829,125,74.06568562,0.437908497,0.272,0.222222222,0.192,0.156862745,7.001455882,5,-2.191043492,,NaN,56,0.366013072
592518, Manny,Machado,259,0.925,203,74.02961506,0.397683398,0.334975369,0.262548263,0.18226601,0.142857143,7.433987259,5,-8.220797394,,NaN,96,0.370656371
683357, Owen,Caissie,137,0.925675676,102,74.01635146,0.445255474,0.294117647,0.218978102,0.137254902,0.102189781,6.459055109,3,-2.847039953,,NaN,38,0.277372263
667670, Brent,Rooker,134,0.905405405,104,73.97125545,0.410447761,0.307692308,0.23880597,0.230769231,0.179104478,6.596460448,0,-0.727415652,,NaN,56,0.417910448
672960, Kazuma,Okamoto,245,0.931558935,186,73.96820339,0.416326531,0.392473118,0.297959184,0.215053763,0.163265306,7.646103429,7,2.035505277,,NaN,96,0.391836735
666160, Mickey,Moniak,105,0.921052632,86,73.86077581,0.380952381,0.337209302,0.276190476,0.11627907,0.095238095,7.239087429,3,4.937032457,,NaN,45,0.428571429
572233, Christian,Walker,273,0.951219512,220,73.83613579,0.377289377,0.322727273,0.26007326,0.172727273,0.139194139,6.949881832,2,-2.548069369,,NaN,106,0.388278388
668709, JJ,Bleday,116,0.920634921,102,73.78742957,0.379310345,0.31372549,0.275862069,0.156862745,0.137931034,6.911005259,1,1.665378433,,NaN,49,0.422413793
691016, Tyler,Soderstrom,206,0.915555556,179,73.6757067,0.339805825,0.324022346,0.281553398,0.184357542,0.160194175,6.965722476,2,-7.032387544,,NaN,96,0.466019417
701538, Jackson,Merrill,249,0.895683453,190,73.53268932,0.333333333,0.294736842,0.224899598,0.136842105,0.104417671,7.250604016,3,-6.139823418,,NaN,75,0.301204819
691781, Brady,House,152,0.88372093,107,73.49942704,0.296052632,0.271028037,0.190789474,0.158878505,0.111842105,7.173125461,2,-3.574925998,,NaN,49,0.322368421
665862, Jazz,Chisholm Jr.,183,0.92893401,140,73.46384967,0.316939891,0.328571429,0.25136612,0.157142857,0.120218579,7.66233377,1,-5.376773143,,NaN,67,0.366120219
673548, Seiya,Suzuki,196,0.946859903,157,73.43509816,0.357142857,0.324840764,0.260204082,0.191082803,0.153061224,6.884513878,1,1.167612156,,NaN,74,0.37755102
686555, Isaac,Collins,188,0.917073171,158,73.42450197,0.319148936,0.35443038,0.29787234,0.164556962,0.138297872,6.478157287,1,-8.961511121,,NaN,91,0.484042553
