First_Name,Last_Name,ID,Team_Name,Pitch_Type,Pitch_Name,Run_Value_per_100,Run_Value,Pitches,Pitch_Usage,PA,BA,SLG,wOBA,Whiff_Percent,K_Percent,Put_Away_Percent,xBA,xSLG,xwOBA,Hard_Hit_Percent
 Jacob,Wilson,805779,ATH,SI,Sinker,-1,-5,520,30,168,0.289,0.39,0.325,4,5.4,11.4,0.249,0.313,0.266,34.4
 Brent,Rooker,667670,ATH,SI,Sinker,-0.8,-4,498,19.3,166,0.292,0.396,0.334,10.7,9.6,19,0.313,0.439,0.35,40.6
 Julio,Rodríguez,677594,SEA,SI,Sinker,1.6,7,443,17.7,161,0.368,0.526,0.414,10.8,8.7,18.7,0.327,0.458,0.36,48.6
 Carlos,Correa,621043,HOU,SI,Sinker,-1.2,-6,521,22.5,159,0.277,0.385,0.318,12.3,13.8,18,0.29,0.434,0.336,49.6
 Nico,Hoerner,663538,CHC,SI,Sinker,-1,-5,483,21,155,0.301,0.343,0.331,2.7,5.2,9.5,0.317,0.399,0.342,38.5
 Pete,Alonso,624413,NYM,SI,Sinker,1.9,11,595,21.2,154,0.36,0.574,0.431,14.6,9.7,12.8,0.328,0.591,0.421,45.1
 Junior,Caminero,691406,TB,SI,Sinker,0.4,2,559,22.4,152,0.293,0.529,0.391,13.8,13.8,23.1,0.27,0.48,0.348,58.8
 Yandy,Díaz,650490,TB,SI,Sinker,0.4,3,624,24.8,150,0.318,0.47,0.389,14.8,8.7,11.9,0.3,0.472,0.376,48.8
 Vladimir,Guerrero Jr.,665489,TOR,SI,Sinker,3.1,16,509,20.3,149,0.365,0.532,0.461,10.1,8.1,16.4,0.293,0.427,0.37,57
 Fernando,Tatis Jr.,665487,SD,SI,Sinker,2.5,13,509,19.3,148,0.358,0.512,0.445,12.6,10.1,17.2,0.316,0.468,0.395,46.8
 Ke'Bryan,Hayes,663647,CIN,SI,Sinker,-2.7,-12,454,21.1,142,0.23,0.252,0.272,4.1,10.6,22.1,0.275,0.371,0.3,50.8
 Spencer,Torkelson,679529,DET,SI,Sinker,0.6,3,521,19.8,142,0.267,0.458,0.365,12.3,15.5,20.8,0.27,0.496,0.379,42.4
 Heliot,Ramos,671218,SF,SI,Sinker,1.8,9,475,17.9,141,0.371,0.509,0.441,10.1,7.1,12.2,0.302,0.47,0.395,41.1
 Christian,Walker,572233,HOU,SI,Sinker,0.2,1,425,16.9,140,0.32,0.461,0.376,15.4,13.6,23.2,0.321,0.514,0.385,52.3
 Maikel,Garcia,672580,KC,SI,Sinker,0.5,3,498,19.8,139,0.32,0.472,0.391,7.2,8.6,12.5,0.299,0.433,0.354,56.6
 Randy,Arozarena,668227,SEA,SI,Sinker,0.7,4,541,18.8,137,0.304,0.438,0.4,22.8,13.9,20.4,0.256,0.414,0.362,49.5
 Marcell,Ozuna,542303,ATL,SI,Sinker,0.6,3,512,19.4,135,0.327,0.464,0.405,13.3,20.7,22,0.281,0.431,0.376,50.6
 Juan,Soto,665742,NYM,SI,Sinker,0.7,4,599,20.2,135,0.245,0.427,0.381,15.4,15.6,18.3,0.258,0.493,0.383,43.3
 Jonathan,India,663697,KC,SI,Sinker,-1.5,-8,499,21.2,135,0.204,0.23,0.277,13.5,12.6,16.5,0.239,0.344,0.323,38.5
