First_Name,Last_Name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
 Fernando,Tatis Jr.,665487,SD,SI,Sinker,0.5,1,274,24.4,91,0.304,0.367,0.355,15.1,9.9,22.5,0.313,0.423,0.376,57.5
 Alex,Bregman,608324,CHC,SI,Sinker,-0.5,-1,289,21.5,89,0.299,0.325,0.349,4.6,4.5,6.9,0.291,0.376,0.345,35.6
 Xander,Bogaerts,593428,SD,SI,Sinker,-0.2,-1,301,28.4,88,0.244,0.354,0.355,15.3,10.2,16.7,0.256,0.389,0.307,38.4
 Matt,Chapman,656305,SF,SI,Sinker,-0.3,-1,311,25.3,84,0.284,0.432,0.363,16.5,11.9,20.8,0.218,0.313,0.285,32.3
 Julio,Rodríguez,677594,SEA,SI,Sinker,0.7,2,238,19.1,83,0.291,0.468,0.381,9.4,8.4,15.9,0.308,0.502,0.364,47.2
 Taylor,Ward,621493,BAL,SI,Sinker,0.9,3,322,22.2,81,0.344,0.41,0.423,6.5,16,17.3,0.305,0.407,0.404,43.8
 Pete,Alonso,624413,BAL,SI,Sinker,-1,-3,310,23.5,80,0.279,0.441,0.351,16.6,12.5,16.1,0.326,0.507,0.393,63.3
 William,Contreras,661388,MIL,SI,Sinker,-0.3,-1,230,22.6,80,0.329,0.4,0.351,8,2.5,5.4,0.307,0.426,0.348,42.9
 Spencer,Steer,668715,CIN,SI,Sinker,-0.9,-3,286,25.7,79,0.222,0.365,0.342,20.8,15.2,20,0.264,0.434,0.377,34.6
 Willson,Contreras,575929,BOS,SI,Sinker,5.7,14,245,22,78,0.385,0.815,0.527,10.3,9,12.3,0.36,0.695,0.494,49.2
 Tyler,Soderstrom,691016,ATH,SI,Sinker,-1.3,-3,236,21,78,0.25,0.389,0.331,6.7,12.8,28.6,0.252,0.398,0.311,45.2
 Vladimir,Guerrero Jr.,665489,TOR,SI,Sinker,0,0,259,24.5,78,0.391,0.435,0.397,7.8,5.1,10.5,0.309,0.361,0.336,47
 Nico,Hoerner,663538,CHC,SI,Sinker,-0.5,-1,275,22.7,75,0.25,0.353,0.319,2.8,5.3,9.5,0.305,0.37,0.331,31.3
 Alec,Bohm,664761,PHI,SI,Sinker,-2.7,-6,235,23,75,0.206,0.279,0.26,13.3,12,24.3,0.276,0.412,0.333,56.7
 Bo,Bichette,666182,NYM,SI,Sinker,-2.1,-6,275,23.3,75,0.27,0.324,0.272,5.6,9.3,12.5,0.27,0.338,0.271,43.3
 Sal,Stewart,701398,CIN,SI,Sinker,-1.4,-4,258,20.5,74,0.231,0.446,0.341,20.3,8.1,14.3,0.319,0.657,0.448,44.1
 Josh,Jung,673962,TEX,SI,Sinker,-2.6,-7,258,25.1,73,0.262,0.292,0.286,10.5,12.3,20.5,0.29,0.363,0.323,38.6
 Nick,Gonzales,693304,PIT,SI,Sinker,-1.6,-4,236,23.1,72,0.299,0.313,0.316,18.4,13.9,26.3,0.275,0.32,0.292,40.4
 Maikel,Garcia,672580,KC,SI,Sinker,-2.6,-7,271,24.7,72,0.203,0.297,0.26,7.8,13.9,17.5,0.295,0.376,0.345,49.1
 Chase,Meidroth,805367,CWS,SI,Sinker,-0.1,0,311,25.3,72,0.328,0.375,0.355,8.1,12.5,14.8,0.252,0.312,0.291,37.5
 Dillon,Dingler,693307,DET,SI,Sinker,-1.5,-4,250,23.4,71,0.19,0.241,0.299,13.9,11.3,14.3,0.305,0.452,0.395,44
 Kevin,McGonigle,805808,DET,SI,Sinker,3.3,6,189,14.8,71,0.393,0.59,0.464,6.5,7,11.9,0.324,0.486,0.397,44.6
 Luis,Arraez,650333,SF,SI,Sinker,-0.1,0,237,20.7,71,0.317,0.365,0.343,4.2,4.2,5.8,0.263,0.317,0.271,20.3
 Iván,Herrera,671056,STL,SI,Sinker,1,3,263,21,71,0.222,0.463,0.417,12.8,9.9,16.3,0.256,0.419,0.388,40.4
 Casey,Schmitt,669477,SF,SI,Sinker,-0.1,0,211,21.1,68,0.262,0.443,0.327,8.7,10.3,18.4,0.332,0.491,0.372,39.3
 Andy,Pages,681624,LAD,SI,Sinker,-0.2,-1,255,20.3,68,0.279,0.459,0.346,12.3,11.8,17.8,0.332,0.507,0.388,51.9
 Willy,Adames,642715,SF,SI,Sinker,-1.3,-3,246,20.9,68,0.317,0.397,0.342,18.9,11.8,23.5,0.291,0.432,0.339,40
 Junior,Caminero,691406,TB,SI,Sinker,1.9,5,240,20,68,0.382,0.636,0.487,13.5,10.3,16.7,0.293,0.512,0.411,52.1
 Gunnar,Henderson,683002,BAL,SI,Sinker,1.3,3,247,18.6,67,0.3,0.5,0.407,14,14.9,19.6,0.303,0.462,0.367,46
 Trea,Turner,607208,PHI,SI,Sinker,-1.8,-4,211,17.5,67,0.222,0.413,0.284,11.2,7.5,13.5,0.259,0.462,0.327,50.8
 Caleb,Durbin,702332,BOS,SI,Sinker,-3.3,-7,215,26.9,67,0.175,0.222,0.211,3.1,4.5,8.3,0.284,0.344,0.292,31.1
 Jordan,Walker,691023,STL,SI,Sinker,0.5,1,212,19.4,66,0.263,0.456,0.374,18.6,16.7,34.4,0.305,0.548,0.409,58.7
 Marcus,Semien,543760,NYM,SI,Sinker,1.4,3,196,18.2,66,0.31,0.586,0.409,13,16.7,28.9,0.336,0.553,0.41,42.9
 Miguel,Vargas,678246,CWS,SI,Sinker,0.4,1,237,19,66,0.207,0.5,0.342,9.2,13.6,15.8,0.287,0.594,0.411,49
 Cam,Smith,701358,HOU,SI,Sinker,-1.4,-3,214,18.7,65,0.273,0.309,0.34,13.1,7.7,9.8,0.327,0.444,0.39,50
 Christian,Walker,572233,HOU,SI,Sinker,2.4,5,200,16.9,65,0.316,0.491,0.432,9.8,4.6,7.3,0.311,0.474,0.382,51.9
 Manny,Machado,592518,SD,SI,Sinker,-2.2,-6,267,22.5,64,0.14,0.263,0.225,18.9,12.5,17,0.254,0.427,0.33,49
 Ernie,Clement,676391,TOR,SI,Sinker,-0.2,0,170,19.1,64,0.333,0.467,0.37,3.2,3.1,8.3,0.264,0.377,0.303,25.9
 Nick,Kurtz,701762,ATH,SI,Sinker,2.7,6,235,16.6,64,0.396,0.472,0.438,22.4,25,25.4,0.258,0.312,0.325,54.1
 Michael,Busch,683737,CHC,SI,Sinker,2.5,5,209,15.9,64,0.289,0.511,0.461,19,10.9,18.9,0.323,0.613,0.486,52.6
 Jo,Adell,666176,LAA,SI,Sinker,-1,-2,216,18,63,0.232,0.339,0.298,19,12.7,23.5,0.316,0.455,0.373,39.6
 Ceddanne,Rafaela,678882,BOS,SI,Sinker,-0.8,-2,212,21,63,0.293,0.379,0.338,15.5,12.7,18.6,0.304,0.436,0.351,34
 Yandy,Díaz,650490,TB,SI,Sinker,3,7,236,22,62,0.429,0.551,0.501,7.9,8.1,12.2,0.328,0.449,0.413,47.7
 Jacob,Young,696285,WSH,SI,Sinker,-0.2,0,200,21.8,62,0.281,0.333,0.352,6.9,11.3,16.7,0.272,0.35,0.316,32
 Matt,Olson,621566,ATL,SI,Sinker,3.2,7,206,14.9,61,0.314,0.647,0.441,17.4,16.4,16.7,0.266,0.541,0.4,50
 Jacob,Wilson,805779,ATH,SI,Sinker,1.3,3,188,28.7,61,0.362,0.5,0.398,7.7,3.3,7.1,0.307,0.383,0.32,42.9
 Isaac,Paredes,670623,HOU,SI,Sinker,2.2,6,256,20.1,60,0.396,0.667,0.518,7.7,6.7,7.3,0.268,0.438,0.38,43.2
 Cole,Young,702284,SEA,SI,Sinker,-0.9,-2,191,16.6,60,0.333,0.386,0.353,12.6,5,10.3,0.38,0.504,0.4,42.6
 Luke,Keaschall,807712,MIN,SI,Sinker,-1.2,-3,223,21.5,60,0.25,0.271,0.314,12.2,10,14.6,0.253,0.322,0.33,27.9
 Kazuma,Okamoto,672960,TOR,SI,Sinker,-1.6,-4,253,20.1,60,0.204,0.37,0.278,25.6,20,26.7,0.25,0.438,0.325,53.5
 Freddie,Freeman,518692,LAD,SI,Sinker,-0.8,-2,200,15.4,59,0.24,0.42,0.345,19.1,10.2,11.5,0.258,0.46,0.364,43.2
 JJ,Wetherholt,802139,STL,SI,Sinker,0,0,201,16.3,58,0.289,0.289,0.359,17.4,8.6,13.9,0.27,0.372,0.372,40
 Bobby,Witt Jr.,677951,KC,SI,Sinker,-0.7,-1,184,14.9,58,0.283,0.396,0.346,11.9,15.5,23.7,0.332,0.566,0.41,72.7
 Shea,Langeliers,669127,ATH,SI,Sinker,2.8,5,193,17.5,58,0.314,0.588,0.421,10.1,8.6,19.2,0.344,0.623,0.445,52.2
 Otto,Lopez,672640,MIA,SI,Sinker,4.1,9,219,19.4,58,0.449,0.714,0.539,6,5.2,12.5,0.366,0.672,0.482,63
 Spencer,Torkelson,679529,DET,SI,Sinker,0.9,2,215,17.5,57,0.3,0.62,0.412,16.3,19.3,19.3,0.327,0.638,0.432,57.5
 Austin,Riley,663586,ATL,SI,Sinker,0.1,0,181,15.1,57,0.245,0.449,0.382,10.4,15.8,21.4,0.234,0.424,0.337,42.5
 Geraldo,Perdomo,672695,AZ,SI,Sinker,-2.2,-4,200,16.2,57,0.213,0.213,0.302,8.5,15.8,21.4,0.263,0.333,0.337,44.7
 Cody,Bellinger,641355,NYY,SI,Sinker,1.1,2,181,15.8,57,0.356,0.533,0.438,10.8,8.8,16.7,0.334,0.437,0.407,43.9
 Adolis,García,666969,PHI,SI,Sinker,-2.1,-4,204,18.9,56,0.17,0.319,0.274,19.2,19.6,39.3,0.244,0.378,0.328,54.1
 Mike,Trout,545361,LAA,SI,Sinker,-0.5,-1,180,12.8,55,0.289,0.4,0.373,13.1,12.7,16.3,0.349,0.609,0.461,57.9
 Yordan,Alvarez,670541,HOU,SI,Sinker,1.5,3,208,16.3,55,0.318,0.477,0.423,13.3,14.5,17.4,0.344,0.548,0.446,58.3
 Seiya,Suzuki,673548,CHC,SI,Sinker,0.9,2,218,20.8,55,0.388,0.612,0.476,16.7,18.2,20.4,0.385,0.611,0.455,51.3
 Xavier,Edwards,669364,MIA,SI,Sinker,-0.4,-1,171,13.8,55,0.271,0.333,0.322,6.9,10.9,15.8,0.281,0.363,0.333,33.3
 Jung Hoo,Lee,808982,SF,SI,Sinker,-1.7,-3,186,18.8,54,0.224,0.306,0.279,13.4,9.3,15.6,0.281,0.372,0.315,35.6
 Austin,Martin,668885,MIN,SI,Sinker,-1.7,-4,234,24.8,54,0.214,0.238,0.299,14.8,11.1,11.8,0.205,0.249,0.3,27
 Jake,Burger,669394,TEX,SI,Sinker,2.1,4,213,20.3,54,0.34,0.7,0.47,23.2,16.7,23.7,0.333,0.629,0.415,54.8
 Jakob,Marsee,805300,MIA,SI,Sinker,-1.2,-2,204,16.9,54,0.222,0.289,0.32,12.7,20.4,26.2,0.217,0.329,0.312,32.4
 Byron,Buxton,621439,MIN,SI,Sinker,0.2,0,216,20.7,54,0.269,0.538,0.369,23.1,13,18.9,0.302,0.587,0.387,46.7
 James,Wood,695578,WSH,SI,Sinker,1.8,4,212,14.3,53,0.366,0.61,0.481,14.5,11.3,14.3,0.375,0.731,0.52,62.9
 Matt,McLain,680574,CIN,SI,Sinker,-0.5,-1,201,18.5,53,0.311,0.511,0.399,12.1,11.3,20,0.311,0.511,0.398,42.5
 Cedric,Mullins,656775,TB,SI,Sinker,0.5,1,156,16.3,53,0.302,0.372,0.391,13.5,15.1,21.1,0.234,0.295,0.317,32.4
 Brice,Turang,668930,MIL,SI,Sinker,1.3,3,199,15.6,53,0.267,0.511,0.412,12.4,18.9,23.8,0.269,0.456,0.361,44.4
 Ronald,Acuña Jr.,660670,ATL,SI,Sinker,3.7,6,169,17.7,53,0.37,0.696,0.488,14.1,1.9,3.8,0.374,0.833,0.528,45.7
 Jose,Altuve,514888,HOU,SI,Sinker,-1.8,-3,191,23.4,53,0.214,0.262,0.321,17.3,13.2,25,0.291,0.364,0.362,50
 Chandler,Simpson,802415,TB,SI,Sinker,-0.6,-1,137,15.3,53,0.288,0.346,0.322,6,5.7,12.5,0.271,0.309,0.263,14.3
 Sal,Frelick,686217,MIL,SI,Sinker,1.7,2,143,15.2,52,0.304,0.413,0.392,1.5,3.8,6.5,0.26,0.361,0.318,27.3
 Josh,Naylor,647304,SEA,SI,Sinker,-4.2,-7,160,16.5,52,0.224,0.265,0.244,9.3,3.8,9.5,0.277,0.333,0.292,44.7
 Vinnie,Pasquantino,686469,KC,SI,Sinker,1.3,2,160,13.7,52,0.209,0.349,0.323,5.3,13.5,18.9,0.274,0.424,0.355,37.8
 Marcell,Ozuna,542303,PIT,SI,Sinker,-1.6,-3,182,19.7,52,0.255,0.383,0.329,15.6,17.3,24.3,0.246,0.378,0.31,42.1
 Steven,Kwan,680757,CLE,SI,Sinker,-0.7,-1,185,17.2,51,0.3,0.325,0.382,2.9,5.9,8.8,0.286,0.335,0.352,2.6
 Brayan,Rocchio,677587,CLE,SI,Sinker,-1.5,-2,162,15.6,51,0.279,0.349,0.335,11.3,5.9,9.1,0.261,0.353,0.326,36.6
 J.P.,Crawford,641487,SEA,SI,Sinker,0.5,1,172,17,51,0.31,0.405,0.381,7.7,11.8,15.8,0.279,0.378,0.356,38.9
 Wilyer,Abreu,677800,BOS,SI,Sinker,-0.1,0,199,16.7,51,0.34,0.426,0.358,14.1,5.9,6.1,0.333,0.513,0.384,37.8
 Randy,Arozarena,668227,SEA,SI,Sinker,1.5,3,222,18.5,51,0.375,0.475,0.434,18.8,13.7,19.4,0.298,0.353,0.377,33.3
 Nolan,Arenado,571448,AZ,SI,Sinker,-0.1,0,208,19.7,51,0.326,0.488,0.397,13.3,9.8,11.6,0.254,0.414,0.326,40
 Miguel,Andujar,609280,SD,SI,Sinker,0.1,0,163,21.9,51,0.38,0.52,0.398,5.6,3.9,6.5,0.343,0.462,0.354,43.8
 Teoscar,Hernández,606192,LAD,SI,Sinker,1.5,3,186,22.4,51,0.378,0.489,0.426,16,15.7,27.6,0.302,0.48,0.378,48.6
 Ezequiel,Duran,677649,TEX,SI,Sinker,1,2,183,20.5,50,0.386,0.477,0.44,15.1,12,18.2,0.361,0.442,0.388,41
 Ramón,Laureano,657656,SD,SI,Sinker,-0.9,-1,163,19.2,50,0.293,0.415,0.35,17.2,10,15.6,0.263,0.42,0.343,44.7
